id_pub,anio,mes,cuenca,contrato,precio_distribuidora,precio_gnc,precio_usina,precio_industria,precio_otros,precio_ppp,precio_expo,indice_tiempo
1,2019,1,Austral Santa Cruz,FIRME,3.56,3.43,3.10,3.27,3.75,3.30,2.00,2019-01
2,2019,1,Austral Santa Cruz,INTERRUMPIBLE,3.04,3.54,2.29,2.38,0.00,2.39,3.25,2019-01
3,2019,1,Austral Santa Cruz,TOTAL,3.40,3.44,2.65,3.13,3.75,3.03,3.08,2019-01
4,2019,1,Austral Tierra del Fuego,FIRME,3.66,3.33,3.30,3.39,0.00,3.45,0.00,2019-01
5,2019,1,Austral Tierra del Fuego,INTERRUMPIBLE,3.43,0.00,2.33,2.28,0.00,2.37,3.49,2019-01
6,2019,1,Austral Tierra del Fuego,TOTAL,3.66,3.33,2.81,3.36,0.00,3.19,3.49,2019-01
7,2019,1,Golfo de San Jorge,FIRME,4.75,3.43,2.84,3.91,0.00,3.96,0.00,2019-01
8,2019,1,Golfo de San Jorge,INTERRUMPIBLE,0.00,0.00,2.88,3.15,0.00,2.96,5.22,2019-01
9,2019,1,Golfo de San Jorge,TOTAL,4.75,3.43,2.87,3.85,0.00,3.79,5.22,2019-01
10,2019,1,Neuquina,FIRME,3.86,3.63,3.67,3.73,3.63,3.72,0.00,2019-01
11,2019,1,Neuquina,INTERRUMPIBLE,3.67,3.69,2.61,2.85,0.00,2.70,4.25,2019-01
12,2019,1,Neuquina,TOTAL,3.84,3.64,2.98,3.61,3.63,3.36,4.25,2019-01
13,2019,1,Noroeste,FIRME,3.83,3.88,0.00,4.79,0.00,4.51,0.00,2019-01
14,2019,1,Noroeste,INTERRUMPIBLE,0.00,4.30,3.29,4.88,0.00,3.81,0.00,2019-01
15,2019,1,Noroeste,TOTAL,3.83,3.95,3.29,4.81,0.00,4.25,0.00,2019-01
16,2019,1,Total Cuenca,FIRME,3.83,3.56,3.50,3.72,3.74,3.68,2.00,2019-01
17,2019,1,Total Cuenca,INTERRUMPIBLE,3.46,3.76,2.58,3.01,0.00,2.70,3.99,2019-01
18,2019,1,Total Cuenca,TOTAL,3.80,3.58,2.92,3.63,3.74,3.37,3.92,2019-01
19,2019,2,Austral Santa Cruz,FIRME,3.43,3.29,2.81,3.38,3.42,3.27,0.00,2019-02
20,2019,2,Austral Santa Cruz,INTERRUMPIBLE,3.65,0.00,2.20,2.36,0.00,2.34,3.00,2019-02
21,2019,2,Austral Santa Cruz,TOTAL,3.48,3.29,2.45,3.29,3.42,3.01,3.00,2019-02
22,2019,2,Austral Tierra del Fuego,FIRME,3.65,3.19,3.00,3.50,0.00,3.36,0.00,2019-02
23,2019,2,Austral Tierra del Fuego,INTERRUMPIBLE,3.52,0.00,2.15,2.52,0.00,2.23,3.22,2019-02
24,2019,2,Austral Tierra del Fuego,TOTAL,3.65,3.19,2.66,3.48,0.00,3.15,3.22,2019-02
25,2019,2,Golfo de San Jorge,FIRME,4.71,3.21,2.38,3.92,0.00,3.81,0.00,2019-02
26,2019,2,Golfo de San Jorge,INTERRUMPIBLE,4.60,0.00,2.85,2.90,0.00,2.89,5.22,2019-02
27,2019,2,Golfo de San Jorge,TOTAL,4.71,3.21,2.62,3.87,0.00,3.65,5.22,2019-02
28,2019,2,Neuquina,FIRME,3.87,3.40,3.50,3.66,3.57,3.63,0.00,2019-02
29,2019,2,Neuquina,INTERRUMPIBLE,4.53,3.30,2.27,2.83,0.00,2.38,4.73,2019-02
30,2019,2,Neuquina,TOTAL,3.88,3.39,2.62,3.55,3.57,3.16,4.73,2019-02
31,2019,2,Noroeste,FIRME,3.83,3.77,3.38,4.77,0.00,4.46,0.00,2019-02
32,2019,2,Noroeste,INTERRUMPIBLE,0.00,0.00,3.13,4.99,0.00,3.81,0.00,2019-02
33,2019,2,Noroeste,TOTAL,3.83,3.77,3.14,4.82,0.00,4.25,0.00,2019-02
34,2019,2,Total Cuenca,FIRME,3.83,3.36,3.21,3.69,3.43,3.59,0.00,2019-02
35,2019,2,Total Cuenca,INTERRUMPIBLE,3.84,3.30,2.29,3.04,0.00,2.44,4.45,2019-02
36,2019,2,Total Cuenca,TOTAL,3.83,3.36,2.63,3.62,3.43,3.22,4.44,2019-02
37,2019,3,Austral Santa Cruz,FIRME,3.37,3.05,2.61,3.29,3.32,3.16,3.60,2019-03
38,2019,3,Austral Santa Cruz,INTERRUMPIBLE,3.34,0.00,2.07,2.30,0.00,2.25,3.05,2019-03
39,2019,3,Austral Santa Cruz,TOTAL,3.36,3.05,2.34,3.19,3.32,2.95,3.27,2019-03
40,2019,3,Austral Tierra del Fuego,FIRME,3.67,2.93,2.76,3.27,0.00,3.19,0.00,2019-03
41,2019,3,Austral Tierra del Fuego,INTERRUMPIBLE,3.54,0.00,2.14,2.21,0.00,2.26,2.72,2019-03
42,2019,3,Austral Tierra del Fuego,TOTAL,3.66,2.93,2.54,3.20,0.00,3.02,2.72,2019-03
43,2019,3,Golfo de San Jorge,FIRME,3.80,3.12,2.23,3.93,0.00,3.49,0.00,2019-03
44,2019,3,Golfo de San Jorge,INTERRUMPIBLE,0.00,0.00,0.00,2.95,0.00,2.95,5.22,2019-03
45,2019,3,Golfo de San Jorge,TOTAL,3.80,3.12,2.23,3.89,0.00,3.48,5.22,2019-03
46,2019,3,Neuquina,FIRME,3.88,3.29,3.19,3.74,3.58,3.61,0.00,2019-03
47,2019,3,Neuquina,INTERRUMPIBLE,3.76,2.98,2.22,2.67,0.00,2.35,4.65,2019-03
48,2019,3,Neuquina,TOTAL,3.88,3.27,2.68,3.60,3.58,3.30,4.65,2019-03
49,2019,3,Noroeste,FIRME,3.83,3.64,3.17,4.72,0.00,4.43,0.00,2019-03
50,2019,3,Noroeste,INTERRUMPIBLE,0.00,0.00,3.09,4.82,0.00,3.81,0.00,2019-03
51,2019,3,Noroeste,TOTAL,3.83,3.64,3.10,4.73,0.00,4.28,0.00,2019-03
52,2019,3,Total Cuenca,FIRME,3.78,3.23,2.95,3.70,3.35,3.51,3.60,2019-03
53,2019,3,Total Cuenca,INTERRUMPIBLE,3.53,2.98,2.22,2.81,0.00,2.40,4.11,2019-03
54,2019,3,Total Cuenca,TOTAL,3.77,3.21,2.61,3.60,3.35,3.27,4.07,2019-03
55,2019,4,Austral Santa Cruz,FIRME,3.85,2.96,2.69,3.24,2.23,3.13,3.60,2019-04
56,2019,4,Austral Santa Cruz,INTERRUMPIBLE,1.74,0.00,1.72,1.99,0.00,1.83,3.06,2019-04
57,2019,4,Austral Santa Cruz,TOTAL,3.32,2.96,2.27,2.96,2.23,2.77,3.46,2019-04
58,2019,4,Austral Tierra del Fuego,FIRME,4.21,3.01,3.14,3.10,0.00,3.41,0.00,2019-04
59,2019,4,Austral Tierra del Fuego,INTERRUMPIBLE,4.22,0.00,2.15,2.52,0.00,2.21,3.34,2019-04
60,2019,4,Austral Tierra del Fuego,TOTAL,4.21,3.01,2.79,3.05,0.00,3.21,3.34,2019-04
61,2019,4,Golfo de San Jorge,FIRME,4.65,3.29,2.61,3.91,0.00,3.99,0.00,2019-04
62,2019,4,Golfo de San Jorge,INTERRUMPIBLE,3.32,0.00,2.33,2.55,0.00,2.52,5.22,2019-04
63,2019,4,Golfo de San Jorge,TOTAL,4.43,3.29,2.40,3.86,0.00,3.65,5.22,2019-04
64,2019,4,Neuquina,FIRME,4.42,3.47,3.86,3.69,3.62,3.88,0.00,2019-04
65,2019,4,Neuquina,INTERRUMPIBLE,3.25,3.40,2.22,2.44,0.00,2.30,4.59,2019-04
66,2019,4,Neuquina,TOTAL,4.37,3.47,2.75,3.54,3.62,3.43,4.59,2019-04
67,2019,4,Noroeste,FIRME,4.55,3.50,0.00,4.74,0.00,4.61,0.00,2019-04
68,2019,4,Noroeste,INTERRUMPIBLE,4.73,0.00,3.33,4.64,0.00,4.21,0.00,2019-04
69,2019,4,Noroeste,TOTAL,4.58,3.50,3.33,4.71,0.00,4.49,0.00,2019-04
70,2019,4,Total Cuenca,FIRME,4.36,3.36,3.44,3.63,2.32,3.76,3.60,2019-04
71,2019,4,Total Cuenca,INTERRUMPIBLE,3.02,3.40,2.22,2.67,0.00,2.36,4.31,2019-04
72,2019,4,Total Cuenca,TOTAL,4.28,3.36,2.72,3.51,2.32,3.39,4.19,2019-04
73,2019,5,Austral Santa Cruz,FIRME,3.93,3.55,2.20,3.18,2.23,3.28,4.42,2019-05
74,2019,5,Austral Santa Cruz,INTERRUMPIBLE,3.34,0.00,2.45,2.33,0.00,2.43,3.37,2019-05
75,2019,5,Austral Santa Cruz,TOTAL,3.91,3.55,2.33,3.03,2.23,3.14,3.97,2019-05
76,2019,5,Austral Tierra del Fuego,FIRME,3.76,3.61,2.45,3.20,0.00,3.31,0.00,2019-05
77,2019,5,Austral Tierra del Fuego,INTERRUMPIBLE,0.00,0.00,2.46,2.39,0.00,2.45,3.21,2019-05
78,2019,5,Austral Tierra del Fuego,TOTAL,3.76,3.61,2.45,3.11,0.00,3.15,3.21,2019-05
79,2019,5,Golfo de San Jorge,FIRME,4.32,3.62,2.55,4.26,0.00,4.10,0.00,2019-05
80,2019,5,Golfo de San Jorge,INTERRUMPIBLE,3.37,0.00,3.72,2.50,0.00,3.29,0.00,2019-05
81,2019,5,Golfo de San Jorge,TOTAL,4.27,3.62,2.70,4.23,0.00,4.07,0.00,2019-05
82,2019,5,Neuquina,FIRME,4.31,4.07,2.88,4.01,3.54,4.12,0.00,2019-05
83,2019,5,Neuquina,INTERRUMPIBLE,4.21,4.38,2.26,2.85,0.00,2.43,4.33,2019-05
84,2019,5,Neuquina,TOTAL,4.30,4.08,2.31,3.90,3.54,3.71,4.33,2019-05
85,2019,5,Noroeste,FIRME,4.52,3.75,3.77,4.80,0.00,4.70,0.00,2019-05
86,2019,5,Noroeste,INTERRUMPIBLE,0.00,0.00,3.70,4.89,0.00,4.50,0.00,2019-05
87,2019,5,Noroeste,TOTAL,4.52,3.75,3.70,4.82,0.00,4.66,0.00,2019-05
88,2019,5,Total Cuenca,FIRME,4.17,3.94,2.52,3.89,2.31,3.91,4.42,2019-05
89,2019,5,Total Cuenca,INTERRUMPIBLE,4.02,4.38,2.34,2.94,0.00,2.52,3.93,2019-05
90,2019,5,Total Cuenca,TOTAL,4.17,3.95,2.38,3.80,2.31,3.62,3.98,2019-05
91,2019,6,Austral Santa Cruz,FIRME,3.20,3.73,2.50,3.21,3.69,3.10,5.12,2019-06
92,2019,6,Austral Santa Cruz,INTERRUMPIBLE,3.15,0.00,3.55,3.81,0.00,3.68,3.35,2019-06
93,2019,6,Austral Santa Cruz,TOTAL,3.20,3.73,2.53,3.23,3.69,3.11,4.52,2019-06
94,2019,6,Austral Tierra del Fuego,FIRME,3.42,3.30,2.54,3.19,0.00,3.16,0.00,2019-06
95,2019,6,Austral Tierra del Fuego,INTERRUMPIBLE,0.00,0.00,3.07,3.57,0.00,3.17,3.21,2019-06
96,2019,6,Austral Tierra del Fuego,TOTAL,3.42,3.30,2.65,3.22,0.00,3.16,3.21,2019-06
97,2019,6,Golfo de San Jorge,FIRME,3.81,3.36,3.03,3.99,0.00,3.87,0.00,2019-06
98,2019,6,Golfo de San Jorge,INTERRUMPIBLE,0.00,0.00,4.07,0.00,0.00,4.07,0.00,2019-06
99,2019,6,Golfo de San Jorge,TOTAL,3.81,3.36,3.45,3.99,0.00,3.87,0.00,2019-06
100,2019,6,Neuquina,FIRME,3.48,3.93,3.24,4.03,3.51,3.68,0.00,2019-06
101,2019,6,Neuquina,INTERRUMPIBLE,3.71,4.06,2.60,3.82,0.00,3.28,4.48,2019-06
102,2019,6,Neuquina,TOTAL,3.49,3.93,2.89,3.99,3.51,3.61,4.48,2019-06
103,2019,6,Noroeste,FIRME,3.76,3.83,2.89,4.84,0.00,4.57,0.00,2019-06
104,2019,6,Noroeste,INTERRUMPIBLE,0.00,0.00,4.03,4.94,0.00,4.86,0.00,2019-06
105,2019,6,Noroeste,TOTAL,3.76,3.83,3.76,4.86,0.00,4.61,0.00,2019-06
106,2019,6,Total Cuenca,FIRME,3.47,3.77,2.81,3.90,3.68,3.56,5.12,2019-06
107,2019,6,Total Cuenca,INTERRUMPIBLE,3.71,4.06,2.75,3.92,0.00,3.35,4.12,2019-06
108,2019,6,Total Cuenca,TOTAL,3.48,3.78,2.79,3.90,3.68,3.54,4.24,2019-06
109,2019,7,Austral Santa Cruz,FIRME,3.09,3.56,2.30,3.24,4.43,3.10,5.04,2019-07
110,2019,7,Austral Santa Cruz,INTERRUMPIBLE,3.62,0.00,2.59,3.76,0.00,3.15,3.38,2019-07
111,2019,7,Austral Santa Cruz,TOTAL,3.13,3.56,2.33,3.25,4.43,3.10,5.02,2019-07
112,2019,7,Austral Tierra del Fuego,FIRME,3.34,2.70,2.54,3.08,0.00,3.06,0.00,2019-07
113,2019,7,Austral Tierra del Fuego,INTERRUMPIBLE,3.61,0.00,3.00,3.60,0.00,3.15,3.21,2019-07
114,2019,7,Austral Tierra del Fuego,TOTAL,3.34,2.70,2.63,3.13,0.00,3.07,3.21,2019-07
115,2019,7,Golfo de San Jorge,FIRME,3.72,3.11,3.21,4.01,0.00,3.87,0.00,2019-07
116,2019,7,Golfo de San Jorge,INTERRUMPIBLE,3.68,0.00,3.81,0.00,0.00,3.81,0.00,2019-07
117,2019,7,Golfo de San Jorge,TOTAL,3.72,3.11,3.74,4.01,0.00,3.86,0.00,2019-07
118,2019,7,Neuquina,FIRME,3.40,3.14,3.25,3.91,3.62,3.53,0.00,2019-07
119,2019,7,Neuquina,INTERRUMPIBLE,3.98,3.15,2.85,4.00,0.00,3.63,4.55,2019-07
120,2019,7,Neuquina,TOTAL,3.45,3.14,3.10,3.93,3.62,3.55,4.55,2019-07
121,2019,7,Noroeste,FIRME,3.71,3.06,4.58,4.82,0.00,4.50,0.00,2019-07
122,2019,7,Noroeste,INTERRUMPIBLE,0.00,0.00,3.77,4.97,0.00,4.37,0.00,2019-07
123,2019,7,Noroeste,TOTAL,3.71,3.06,3.92,4.84,0.00,4.48,0.00,2019-07
124,2019,7,Total Cuenca,FIRME,3.39,3.04,2.82,3.82,4.39,3.45,5.04,2019-07
125,2019,7,Total Cuenca,INTERRUMPIBLE,3.96,3.15,3.04,4.03,0.00,3.60,4.53,2019-07
126,2019,7,Total Cuenca,TOTAL,3.43,3.05,2.89,3.85,4.39,3.47,4.63,2019-07
127,2019,8,Austral Santa Cruz,FIRME,3.01,2.80,2.87,3.23,3.76,3.13,4.93,2019-08
128,2019,8,Austral Santa Cruz,INTERRUMPIBLE,2.66,0.00,2.46,3.27,0.00,2.64,0.00,2019-08
129,2019,8,Austral Santa Cruz,TOTAL,3.01,2.80,2.74,3.23,3.76,3.07,4.93,2019-08
130,2019,8,Austral Tierra del Fuego,FIRME,3.38,2.83,2.38,3.22,0.00,3.10,0.00,2019-08
131,2019,8,Austral Tierra del Fuego,INTERRUMPIBLE,2.45,7.52,2.88,3.20,0.00,2.95,0.00,2019-08
132,2019,8,Austral Tierra del Fuego,TOTAL,3.38,2.83,2.48,3.21,0.00,3.09,0.00,2019-08
133,2019,8,Golfo de San Jorge,FIRME,3.49,3.02,2.78,4.02,0.00,3.68,0.00,2019-08
134,2019,8,Golfo de San Jorge,INTERRUMPIBLE,2.45,0.00,3.86,0.00,0.00,3.80,0.00,2019-08
135,2019,8,Golfo de San Jorge,TOTAL,3.48,3.02,3.05,4.02,0.00,3.69,0.00,2019-08
136,2019,8,Neuquina,FIRME,3.26,3.15,3.05,3.92,3.47,3.46,0.00,2019-08
137,2019,8,Neuquina,INTERRUMPIBLE,3.53,3.23,2.76,3.69,0.00,3.08,4.39,2019-08
138,2019,8,Neuquina,TOTAL,3.28,3.16,2.86,3.89,3.47,3.38,4.39,2019-08
139,2019,8,Noroeste,FIRME,3.60,3.08,4.76,4.82,0.00,4.49,0.00,2019-08
140,2019,8,Noroeste,INTERRUMPIBLE,4.95,0.00,3.84,4.53,0.00,4.56,0.00,2019-08
141,2019,8,Noroeste,TOTAL,3.98,3.08,4.42,4.77,0.00,4.50,0.00,2019-08
142,2019,8,Total Cuenca,FIRME,3.30,3.07,2.78,3.85,3.75,3.41,4.93,2019-08
143,2019,8,Total Cuenca,INTERRUMPIBLE,3.73,3.23,2.78,3.72,0.00,3.13,4.39,2019-08
144,2019,8,Total Cuenca,TOTAL,3.31,3.08,2.78,3.83,3.75,3.36,4.47,2019-08
145,2019,9,Austral Santa Cruz,FIRME,2.99,2.87,2.17,2.94,3.27,2.79,3.91,2019-09
146,2019,9,Austral Santa Cruz,INTERRUMPIBLE,3.13,0.00,1.87,2.10,2.75,2.01,0.00,2019-09
147,2019,9,Austral Santa Cruz,TOTAL,3.00,2.87,2.05,2.90,3.25,2.65,3.91,2019-09
148,2019,9,Austral Tierra del Fuego,FIRME,3.25,2.87,2.20,2.81,0.00,2.88,0.00,2019-09
149,2019,9,Austral Tierra del Fuego,INTERRUMPIBLE,3.02,2.61,2.02,3.05,0.00,2.46,0.00,2019-09
150,2019,9,Austral Tierra del Fuego,TOTAL,3.17,2.76,2.08,2.87,0.00,2.69,0.00,2019-09
151,2019,9,Golfo de San Jorge,FIRME,3.52,3.04,2.22,3.52,0.00,3.38,0.00,2019-09
152,2019,9,Golfo de San Jorge,INTERRUMPIBLE,2.98,0.00,3.26,3.30,0.00,3.10,0.00,2019-09
153,2019,9,Golfo de San Jorge,TOTAL,3.50,3.04,2.31,3.52,0.00,3.37,0.00,2019-09
154,2019,9,Neuquina,FIRME,3.24,3.12,2.01,3.68,3.53,3.35,4.49,2019-09
155,2019,9,Neuquina,INTERRUMPIBLE,3.30,3.03,2.11,2.43,0.00,2.49,4.49,2019-09
156,2019,9,Neuquina,TOTAL,3.25,3.09,2.09,3.46,3.53,3.07,4.49,2019-09
157,2019,9,Noroeste,FIRME,3.59,3.00,3.36,4.75,0.00,4.39,0.00,2019-09
158,2019,9,Noroeste,INTERRUMPIBLE,0.00,0.00,3.25,4.35,0.00,3.93,0.00,2019-09
159,2019,9,Noroeste,TOTAL,3.59,3.00,3.27,4.67,0.00,4.28,0.00,2019-09
160,2019,9,Total Cuenca,FIRME,3.25,3.07,2.15,3.59,3.28,3.26,4.00,2019-09
161,2019,9,Total Cuenca,INTERRUMPIBLE,3.19,2.94,2.09,2.75,2.75,2.50,4.49,2019-09
162,2019,9,Total Cuenca,TOTAL,3.24,3.03,2.11,3.45,3.26,3.02,4.47,2019-09
163,2019,10,Austral Santa Cruz,FIRME,2.96,2.89,2.26,2.19,3.31,2.40,3.19,2019-10
164,2019,10,Austral Santa Cruz,INTERRUMPIBLE,2.63,0.00,1.79,1.59,0.00,1.79,3.14,2019-10
165,2019,10,Austral Santa Cruz,TOTAL,2.95,2.89,2.02,2.16,3.31,2.25,3.18,2019-10
166,2019,10,Austral Tierra del Fuego,FIRME,2.92,2.66,2.06,2.19,0.00,2.49,0.00,2019-10
167,2019,10,Austral Tierra del Fuego,INTERRUMPIBLE,0.00,0.00,2.04,1.88,0.00,2.00,3.21,2019-10
168,2019,10,Austral Tierra del Fuego,TOTAL,2.92,2.66,2.04,2.08,0.00,2.29,3.21,2019-10
169,2019,10,Golfo de San Jorge,FIRME,3.11,3.13,2.22,2.52,0.00,2.66,0.00,2019-10
170,2019,10,Golfo de San Jorge,INTERRUMPIBLE,0.00,0.00,0.00,0.00,0.00,0.00,5.41,2019-10
171,2019,10,Golfo de San Jorge,TOTAL,3.11,3.13,2.22,2.52,0.00,2.66,5.41,2019-10
172,2019,10,Neuquina,FIRME,3.11,3.02,2.23,2.77,1.93,2.85,4.49,2019-10
173,2019,10,Neuquina,INTERRUMPIBLE,2.77,2.74,1.81,1.90,0.00,2.03,3.33,2019-10
174,2019,10,Neuquina,TOTAL,3.02,2.96,1.89,2.65,1.93,2.55,3.53,2019-10
175,2019,10,Noroeste,FIRME,3.46,2.98,3.42,4.27,0.00,4.09,0.00,2019-10
176,2019,10,Noroeste,INTERRUMPIBLE,0.00,0.00,3.46,4.11,0.00,3.84,0.00,2019-10
177,2019,10,Noroeste,TOTAL,3.46,2.98,3.45,4.24,0.00,4.03,0.00,2019-10
178,2019,10,Total Cuenca,FIRME,3.06,2.97,2.18,2.76,3.24,2.79,3.60,2019-10
179,2019,10,Total Cuenca,INTERRUMPIBLE,2.77,2.74,1.90,2.10,0.00,2.06,3.42,2019-10
180,2019,10,Total Cuenca,TOTAL,3.01,2.93,1.98,2.66,3.24,2.54,3.48,2019-10
181,2019,11,Austral Santa Cruz,FIRME,2.91,2.80,2.31,2.16,3.15,2.35,3.07,2019-11
182,2019,11,Austral Santa Cruz,INTERRUMPIBLE,2.61,0.00,1.57,1.21,0.00,1.53,3.14,2019-11
183,2019,11,Austral Santa Cruz,TOTAL,2.90,2.80,1.94,2.07,3.15,2.14,3.08,2019-11
184,2019,11,Austral Tierra del Fuego,FIRME,3.15,2.57,2.02,2.12,0.00,2.46,0.00,2019-11
185,2019,11,Austral Tierra del Fuego,INTERRUMPIBLE,3.18,0.00,1.99,2.46,0.00,2.13,3.21,2019-11
186,2019,11,Austral Tierra del Fuego,TOTAL,3.15,2.57,2.00,2.25,0.00,2.32,3.21,2019-11
187,2019,11,Golfo de San Jorge,FIRME,3.52,2.99,2.06,2.88,0.00,2.83,0.00,2019-11
188,2019,11,Golfo de San Jorge,INTERRUMPIBLE,0.00,0.00,0.00,1.52,0.00,1.52,0.00,2019-11
189,2019,11,Golfo de San Jorge,TOTAL,3.52,2.99,2.06,2.88,0.00,2.83,0.00,2019-11
190,2019,11,Neuquina,FIRME,3.18,2.89,2.04,2.77,1.84,2.81,3.93,2019-11
191,2019,11,Neuquina,INTERRUMPIBLE,3.54,2.80,1.78,1.69,2.39,1.80,3.35,2019-11
192,2019,11,Neuquina,TOTAL,3.19,2.88,1.83,2.67,1.88,2.48,3.59,2019-11
193,2019,11,Noroeste,FIRME,3.96,2.99,3.54,4.29,0.00,4.15,0.00,2019-11
